"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"90031";"104";"1";"1";"AFONSO PENA, AVE";"3000";10;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"-19.9371489692609";"-43.927634478217";"612224.56";"7795115.62"
"90032";"104";"1";"1";"AFONSO PENA, AVE";"3239";14;0;0;0;0;0;1;1;1;0;2;4;0;2;8;0;0;0;4;3;4;0;0;0;0;30;"-19.9393672850039";"-43.9258695397128";"612407.71";"7794868.93"
"90033";"104";"1";"1";"AFONSO PENA, AVE";"3328";11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;"-19.9401169787509";"-43.92570373225587";"612424.53";"7794785.85"
"90034";"104";"1";"1";"AFONSO PENA, AVE";"3577";13;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;"-19.9417782732427";"-43.92439715658";"612560.1";"7794601.11"
"90350";"104";"1";"1";"DO CONTORNO, AVE";"11530";2;0;0;0;0;0;4;1;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;"-19.9149434019352";"-43.9439011732314";"610537.51";"7797583.98"
"90593";"104";"1";"1";"OURO FINO, RUA";"452";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;"-19.9419817971359";"-43.925404592415";"612454.52";"7794579.26"
"90003";"105";"1";"1";"AARAO REIS, RUA";"510";16;0;0;0;0;0;11;11;17;2;3;2;2;0;0;0;0;2;0;0;0;0;0;0;0;50;"-19.9193217005933";"-43.934422401844";"611526.64";"7797093.16"
"90003";"105";"1";"1";"AARAO REIS, RUA";"510";1;0;0;0;0;0;11;11;17;2;3;2;2;0;0;0;0;2;0;0;0;0;0;0;0;50;"-19.9193217005933";"-43.934422401844";"611526.64";"7797093.16"
"90095";"105";"1";"1";"AMAZONAS, AVE";"303";15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"-19.9187649207254";"-43.9377583335268";"611177.85";"7797156.99"
"90103";"105";"1";"1";"AMAZONAS, AVE";"687";14;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"-19.92055637868525";"-43.94098474241211";"610838.88";"7796960.85"
